"id","ticker_id","ticker","value","lowvalue","highvalue","change","percentage","sectorid","timestamp","timeCreated"
"41","35649705","aspi","23502.3000","23292.9100","63361.8600","209.3900","0.8989","1","2026-01-06 23:23:17.354","2026-01-07 00:00:39.164"
"42","35649706","sl20","6444.8400","6363.8500","6444.8400","80.9900","1.2727","40","2026-01-06 23:23:17.372","2026-01-07 00:00:39.164"
"43","35649723","aspi","23489.1800","23292.9100","63361.8600","196.2700","0.8426","1","2026-01-07 00:49:54.92","2026-01-07 01:00:39.158"
"44","35649706","sl20","6444.8400","6363.8500","6444.8400","80.9900","1.2727","40","2026-01-06 23:23:17.372","2026-01-07 01:00:39.158"
"45","35649723","aspi","23489.1800","23292.9100","63361.8600","196.2700","0.8426","1","2026-01-07 00:49:54.92","2026-01-07 02:00:39.141"
"46","35649706","sl20","6444.8400","6363.8500","6444.8400","80.9900","1.2727","40","2026-01-06 23:23:17.372","2026-01-07 02:00:39.141"
"47","35649763","aspi","23465.0300","23292.9100","63361.8600","172.1200","0.7389","1","2026-01-07 03:00:32.54","2026-01-07 03:00:39.217"
"48","35649706","sl20","6444.8400","6363.8500","6444.8400","80.9900","1.2727","40","2026-01-06 23:23:17.372","2026-01-07 03:00:39.217"
"49","35649907","aspi","23293.8500","23292.9100","63361.8600","0.9400","0.0040","1","2026-01-07 03:56:05.265","2026-01-07 04:00:39.275"
"50","35649706","sl20","6444.8400","6363.8500","6444.8400","80.9900","1.2727","40","2026-01-06 23:23:17.372","2026-01-07 04:00:39.275"
"51","35649907","aspi","23293.8500","23292.9100","63361.8600","0.9400","0.0040","1","2026-01-07 03:56:05.265","2026-01-07 05:00:39.361"
"52","35649908","sl20","6363.8500","6363.8500","6444.8400","0.0000","0.0000","40","2026-01-07 04:46:07.392","2026-01-07 05:00:39.361"
"53","35649907","aspi","23293.8500","23292.9100","63361.8600","0.9400","0.0040","1","2026-01-07 03:56:05.265","2026-01-07 06:00:39.263"
"54","35649908","sl20","6363.8500","6363.8500","6444.8400","0.0000","0.0000","40","2026-01-07 04:46:07.392","2026-01-07 06:00:39.263"
"55","35649907","aspi","23293.8500","23292.9100","63361.8600","0.9400","0.0040","1","2026-01-07 03:56:05.265","2026-01-07 07:00:39.167"
"56","35649908","sl20","6363.8500","6363.8500","6444.8400","0.0000","0.0000","40","2026-01-07 04:46:07.392","2026-01-07 07:00:39.167"
"57","35650099","aspi","23504.2500","23292.4700","23504.3400","210.4000","0.9032","1","2026-01-07 23:00:41.326","2026-01-07 23:00:40.551"
"58","35650071","sl20","6441.9400","6363.8500","6441.9400","-2.9000","-0.0450","40","2026-01-07 23:00:33.438","2026-01-07 23:00:40.551"
"59","35656287","aspi","23524.1500","23292.4700","23574.9200","230.3000","0.9887","1","2026-01-08 00:00:56.328","2026-01-08 00:00:39.116"
